Problem ID,Year,Number,Title,Difficulty,Tags,Status,Notes
N2015-N,2015,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-O,2015,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2015-P,2015,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-A,2016,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-B,2016,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-C,2016,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-D,2016,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-E,2016,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-F,2016,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-G,2016,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-H,2016,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-I,2016,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-J,2016,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-K,2016,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-L,2016,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-M,2016,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-N,2016,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-O,2016,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-P,2016,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-Q,2016,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2016-R,2016,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-A,2017,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-B,2017,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-C,2017,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-D,2017,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-E,2017,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-F,2017,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-G,2017,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-H,2017,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-I,2017,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-J,2017,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-K,2017,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-L,2017,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-M,2017,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-N,2017,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-O,2017,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-P,2017,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-Q,2017,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2017-R,2017,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-A,2018,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-B,2018,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-C,2018,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-D,2018,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-E,2018,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-F,2018,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-G,2018,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-H,2018,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-I,2018,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-J,2018,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-K,2018,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-L,2018,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-M,2018,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-N,2018,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-O,2018,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-P,2018,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-Q,2018,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2018-R,2018,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-A,2019,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-B,2019,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-C,2019,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-D,2019,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-E,2019,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-F,2019,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-G,2019,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-H,2019,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-I,2019,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-J,2019,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-K,2019,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-L,2019,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-M,2019,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-N,2019,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-O,2019,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-P,2019,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-Q,2019,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2019-R,2019,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-A,2020,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-B,2020,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-C,2020,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-D,2020,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-E,2020,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-F,2020,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-G,2020,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-H,2020,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-I,2020,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-J,2020,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-K,2020,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-L,2020,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-M,2020,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
