Problem ID,Year,Number,Title,Language,Family,Difficulty,Tags,Source File,Status
IOL2009-i3,2009,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2009/iol-2009-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2009-i4,2009,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2009/iol-2009-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2009-i5,2009,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2009/iol-2009-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2011-i1,2011,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2011/iol-2011-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2011-i2,2011,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2011/iol-2011-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2011-i3,2011,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2011/iol-2011-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2011-i4,2011,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2011/iol-2011-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2011-i5,2011,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2011/iol-2011-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2012-i1,2012,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2012/iol-2012-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2012-i2,2012,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2012/iol-2012-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2012-i3,2012,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2012/iol-2012-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2012-i4,2012,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2012/iol-2012-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2012-i5,2012,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2012/iol-2012-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2013-i1,2013,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2013/iol-2013-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2013-i2,2013,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2013/iol-2013-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2013-i3,2013,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2013/iol-2013-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2013-i4,2013,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2013/iol-2013-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2013-i5,2013,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2013/iol-2013-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2014-i1,2014,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2014/iol-2014-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2014-i2,2014,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2014/iol-2014-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2014-i3,2014,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2014/iol-2014-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2014-i4,2014,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2014/iol-2014-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2014-i5,2014,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2014/iol-2014-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2015-i1,2015,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2015/iol-2015-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2015-i2,2015,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2015/iol-2015-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2015-i3,2015,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2015/iol-2015-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2015-i4,2015,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2015/iol-2015-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2015-i5,2015,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2015/iol-2015-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2016-i1,2016,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2016/iol-2016-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2016-i2,2016,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2016/iol-2016-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2016-i3,2016,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2016/iol-2016-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2016-i4,2016,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2016/iol-2016-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2016-i5,2016,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2016/iol-2016-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2017-i1,2017,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2017/iol-2017-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2017-i2,2017,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2017/iol-2017-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2017-i3,2017,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2017/iol-2017-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2017-i4,2017,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2017/iol-2017-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2017-i5,2017,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2017/iol-2017-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2018-i1,2018,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2018/iol-2018-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2018-i2,2018,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2018/iol-2018-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2018-i3,2018,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2018/iol-2018-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2018-i4,2018,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2018/iol-2018-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2018-i5,2018,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2018/iol-2018-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2021-i1,2021,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2021/iol-2021-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2021-i2,2021,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2021/iol-2021-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2021-i3,2021,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2021/iol-2021-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2021-i4,2021,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2021/iol-2021-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2021-i5,2021,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2021/iol-2021-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2022-i1,2022,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2022/iol-2022-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2022-i2,2022,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2022/iol-2022-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2022-i3,2022,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2022/iol-2022-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2022-i4,2022,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2022/iol-2022-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2022-i5,2022,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2022/iol-2022-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2023-i1,2023,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2023/iol-2023-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2023-i2,2023,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2023/iol-2023-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2023-i3,2023,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2023/iol-2023-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2023-i4,2023,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2023/iol-2023-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2023-i5,2023,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2023/iol-2023-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2024-i1,2024,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2024/iol-2024-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2024-i2,2024,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2024/iol-2024-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2024-i3,2024,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2024/iol-2024-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2024-i4,2024,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2024/iol-2024-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2024-i5,2024,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2024/iol-2024-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2025-i1,2025,1,Problem 1,TBD,unknown,1,"morphology, pattern-recognition, beginner",by-year/2025/iol-2025-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2025-i2,2025,2,Problem 2,TBD,unknown,2,"morphology, paradigm, intermediate",by-year/2025/iol-2025-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2025-i3,2025,3,Problem 3,TBD,unknown,2,"writing-systems, pattern-recognition, intermediate",by-year/2025/iol-2025-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2025-i4,2025,4,Problem 4,TBD,unknown,3,"syntax, rule-formulation, advanced",by-year/2025/iol-2025-indiv-prob.en.pdf,auto-generated - needs manual verification
IOL2025-i5,2025,5,Problem 5,TBD,unknown,3,"morphology, computational, advanced",by-year/2025/iol-2025-indiv-prob.en.pdf,auto-generated - needs manual verification
